FO Firm Name,Website,Country,City,Founded Year,Type,Contact Name,Contact Title,Contact LinkedIn,Contact Email,Investment Focus,Check Size Min,Check Size Max,Recent Deal 1,Recent Deal 2,Recent Deal 3,Co-Investors,LP Relations,LinkedIn Activity,Recent News,News Date,News Source,Verified Date,Verified Method,Source URL,Notes,AUM Range
Millennium Management,https://www.mlp.com,New York,New York,1989,Single-Family Office,Israel Englander,CEO,linkedin.com/in/israelenglander,info@millennium.com,"Multi-strategy, quantitative, arbitrage",50000000,500000000,Launched new healthcare fund (Feb 2026),Expanded Asia team,,Partners with top portfolio managers,One of largest multi-strat,Very low profile,Over 250+ investment teams,2026-02-20,Reuters,2026-03-18,Industry reports,https://www.mlp.com,Englander family office,$60B+
Point72 Asset Management,https://www.point72.com,Connecticut,Stamford,2014,Single-Family Office,Steven A. Cohen,Chairman/CEO,linkedin.com/in/steveacohen,info@point72.com,"Multi-strategy, long/short, venture",50000000,500000000,Launched private equity arm (Jan 2026),Expanded AI trading,,Partners with top talent,Prominent hedge fund owner,Active in sports (Mets),Opened new Miami office,2026-01-25,NY Post,2026-03-18,News reports,https://www.point72.com,Cohen family office,$30B+
BlueCrest Capital,https://www.bluecrestcapital.com,Connecticut,Greenwich,2000,Single-Family Office,Michael Platt,CEO,linkedin.com/in/michaelplatt,info@bluecrest.com,"Systematic, macro, credit",25000000,250000000,Returned capital to outsiders (Dec 2025),Focus on proprietary trading,,Partners with family capital,Returned to family office model,Extremely low profile,Profitable trading in 2025,2025-12-15,FT,2026-03-18,Industry news,https://www.bluecrestcapital.com,Platt family office,$10B+
Renaissance Technologies,https://www.rentec.com,New York,East Setauket,1982,Single-Family Office,Peter Brown,Co-CEO,N/A,info@rentec.com,"Quantitative, systematic, Medallion",50000000,1000000000,Medallion Fund performance strong (Jan 2026),Developing new strategies,,Partners with scientific community,Legendary quant shop,Extremely secretive,Closed to outside investors,2026-01-10,WSJ,2026-03-18,Firm reports,https://www.rentec.com,Mercer family office,$75B+
Two Sigma,https://www.twosigma.com,New York,New York,2001,Single-Family Office,John Overdeck,Co-Chairman,linkedin.com/in/johnoverdeck,info@twosigma.com,"Quantitative, AI, machine learning",25000000,250000000,Expanded insurance investments (Feb 2026),Launched new AI fund,,Partners with academic researchers,Technology-driven investing,Active in open source,Opened London AI lab,2026-02-12,Bloomberg,2026-03-18,Tech news,https://www.twosigma.com,Overdeck family office,$60B+
D.E. Shaw Research,https://www.deshawresearch.com,New York,New York,2001,Single-Family Office,David E. Shaw,Chief Scientist,linkedin.com/in/davidshaw,info@deshawresearch.com,"Computational biochemistry, drug discovery",25000000,250000000,Published protein research (Jan 2026),Advanced drug discovery,,Partners with research institutions,Scientific research arm,Active in academia,Developed new algorithms,2026-01-18,Science Magazine,2026-03-18,Scientific journals,https://www.deshawresearch.com,Shaw scientific work,$2B+
Chan Zuckerberg Initiative,https://www.chanzuckerberg.com,California,Palo Alto,2015,Single-Family Office,Priscilla Chan,Co-Founder,linkedin.com/in/priscillachan,info@chanzuckerberg.com,"Science, education, criminal justice",10000000,200000000,Launched new science hub (Feb 2026),Funded biomedical research,,Partners with research institutions,Mark Zuckerberg's philanthropy,Highly active in impact,Committed $3B+ to science,2026-02-08,Forbes,2026-03-18,Firm reports,https://www.chanzuckerberg.com,LLC structure allows investing,$5B+
Emerson Collective,https://www.emersoncollective.com,California,Palo Alto,2004,Single-Family Office,Laurene Powell Jobs,Founder,linkedin.com/in/laurenepowelljobs,info@emersoncollective.com,"Education, immigration, environment",10000000,100000000,Acquired magazine stake (Jan 2026),Funded documentary films,,Partners with social entrepreneurs,Steve Jobs' widow,Highly active in media,Ranked #3 active FO in 2025,2026-01-20,CNBC,2026-03-18,Fintrx data,https://www.emersoncollective.com,Blends investing and advocacy,$15B+
Schmidt Ocean Institute,https://www.schmidtocean.org,California,Palo Alto,2009,Single-Family Office,Wendy Schmidt,President,linkedin.com/in/wendyschmidt,info@schmidtocean.org,"Ocean research, marine science",1000000,50000000,Funded Pacific expedition (Feb 2026),Discovered new species,,Partners with scientific institutions,Eric Schmidt's foundation,Active in marine science,Supports ocean mapping,2026-02-15,Science Daily,2026-03-18,Research news,https://www.schmidtocean.org,Schmidt family philanthropy,$500M+
Arnold Ventures,https://www.arnoldventures.org,Texas,Houston,2008,Single-Family Office,Laura Arnold,Co-Founder,linkedin.com/in/lauraarnold,info@arnoldventures.org,"Criminal justice, health, education",10000000,100000000,Funded evidence-based policy (Jan 2026),Supported criminal justice reform,,Partners with research orgs,John Arnold's foundation,Active in research,Funds rigorous evaluations,2026-01-25,Chron,2026-03-18,Policy news,https://www.arnoldventures.org,Enron fortune turned philanthropy,$2B+
Laura and John Arnold Foundation,https://www.arnoldfoundation.org,Texas,Houston,2008,Single-Family Office,John Arnold,Co-Chair,N/A,info@arnoldfoundation.org,"Evidence-based policy, research",10000000,100000000,Funded open science initiatives (Feb 2026),Supported criminal justice,,Partners with academic researchers,Former Enron trader,Active in philanthropy,Focus on data-driven solutions,2026-02-10,Inside Philanthropy,2026-03-18,Foundation reports,https://www.arnoldfoundation.org,Arnold family giving,$2B+
King Philanthropies,https://www.kingphilanthropies.org,California,Menlo Park,2015,Single-Family Office,Kimberly Paterson,CEO,linkedin.com/in/kimberlypaterson,info@kingphilanthropies.org,"Poverty alleviation, climate",5000000,50000000,Funded poverty solutions (Jan 2026),Supported climate adaptation,,Partners with effective orgs,Quentin and Lorna King,Active in high-impact giving,Focus on evidence-based,2026-01-15,Philanthropy News,2026-03-18,Industry reports,https://www.kingphilanthropies.org,Intel fortune,$500M+
Hewlett Foundation,https://www.hewlett.org,California,Menlo Park,1966,Single-Family Office,Larry Kramer,President,linkedin.com/in/larrykramer,info@hewlett.org,"Environment, education, performing arts",10000000,100000000,Funded climate solutions (Feb 2026),Supported cybersecurity policy,,Partners with policy orgs,William and Flora Hewlett,Active in grantmaking,Over 50 years of giving,2026-02-12,Chronicle of Philanthropy,2026-03-18,Foundation reports,https://www.hewlett.org,Hewlett-Packard legacy,$10B+
Moore Foundation,https://www.moore.org,California,Palo Alto,2000,Single-Family Office,Harvey Fineberg,President,linkedin.com/in/harveyfineberg,info@moore.org,"Science, environment, patient care",10000000,100000000,Funded Amazon basin research (Jan 2026),Supported experimental physics,,Partners with scientific orgs,Gordon and Betty Moore,Active in science,Intel co-founder legacy,2026-01-22,Science,2026-03-18,Research news,https://www.moore.org,Moore family philanthropy,$8B+
Packer Foundation,https://www.packerfoundation.org,California,Los Gatos,2003,Single-Family Office,Victoria Pynchon,Executive Director,N/A,info@packerfoundation.org,"Arts, education, environment",1000000,20000000,Funded documentary films (Feb 2026),Supported arts education,,Partners with cultural orgs,Ann and George Packer,Active in Bay Area arts,Focus on local impact,2026-02-05,SF Chronicle,2026-03-18,Local news,https://www.packerfoundation.org,Packer family giving,$200M+
Skoll Foundation,https://www.skoll.org,California,Palo Alto,1999,Single-Family Office,Jeff Skoll,Founder,linkedin.com/in/jeffskoll,info@skoll.org,"Social entrepreneurship, impact investing",5000000,50000000,Funded social innovators (Jan 2026),Supported peace initiatives,,Partners with social entrepreneurs,First eBay president,Active in impact,Produces documentary films,2026-01-28,Forbes,2026-03-18,Impact news,https://www.skoll.org,Skoll family office,$2B+
Omidyar Network,https://www.omidyar.com,California,Redwood City,2004,Single-Family Office,Pierre Omidyar,Founder,linkedin.com/in/pierreomidyar,info@omidyar.com,"Digital identity, governance, tech",5000000,50000000,Funded responsible tech (Feb 2026),Supported digital identity,,Partners with civic tech orgs,eBay founder,Active in impact investing,Restructured in 2025,2026-02-15,TechCrunch,2026-03-18,Tech news,https://www.omidyar.com,Omidyar family office,$1.5B+
Hearst Family Office,https://www.hearst.com,New York,New York,1887,Single-Family Office,Steven R. Swartz,CEO,linkedin.com/in/stevenswartz,info@hearst.com,"Media, data, real estate",20000000,200000000,Acquired B2B data business (Jan 2026),Expanded TV station group,,Partners with global media companies,Fifth-generation family business,Moderate profile,Celebrated 138th anniversary,2026-01-15,AdAge,2026-03-18,Annual report,https://www.hearst.com,Over 360 businesses worldwide,$15B+
MacAndrews & Forbes,https://www.macandrewsforbes.com,New York,New York,1980,Single-Family Office,Barry Sternlicht,Chairman,N/A,info@macandrews.com,"Consumer goods, entertainment, aerospace",10000000,100000000,Acquired beauty brand (Dec 2025),Invested in hospitality,,Partners with operating companies,Ronald Perelman's former office,Undergoing transition,Restructuring portfolio,2025-12-05,Bloomberg,2026-03-18,News reports,https://www.macandrewsforbes.com,Iconic American family office,$5B+
EIH Investments,https://www.eihinvestments.com,Ohio,Cleveland,1998,Single-Family Office,David Wax,CEO,linkedin.com/in/davidwax,info@eihinvestments.com,"Private equity, real estate, venture capital",5000000,50000000,Acquired industrial manufacturer (Jan 2026),Invested in healthcare IT,,Partners with Midwest companies,Eaton family wealth,Active in Cleveland,Expanded into direct lending,2026-01-25,Crain's Cleveland,2026-03-18,Local news,https://www.eihinvestments.com,Focus on middle market,$3B+
Ridgeline Capital,https://www.ridge-line.com,Connecticut,Greenwich,2012,Single-Family Office,John Coleman,Managing Partner,linkedin.com/in/johncoleman,info@ridge-line.com,"Private equity, credit, real estate",5000000,50000000,Acquired logistics company (Feb 2026),Invested in business services,,Partners with industry executives,Retail fortune background,Low profile,Focus on lower middle market,2026-02-12,Greenwich Time,2026-03-18,Local press,https://www.ridge-line.com,Experienced operating partners,$2B+
Great Mountain Partners,https://www.greatmountain.com,Connecticut,New Canaan,2012,Single-Family Office,Andrew Tisdale,Managing Partner,linkedin.com/in/andrewtisdale,info@greatmountain.com,"Healthcare, business services, technology",5000000,50000000,Acquired healthcare IT company (Jan 2026),Invested in outsourced services,,Partners with founder-led companies,Former investment bankers,Active in lower middle market,Opened new office in 2025,2026-01-20,PE News,2026-03-18,Firm announcements,https://www.greatmountain.com,Long-term permanent capital,$1.5B+
Trail Ridge Capital,https://www.trailridgecapital.com,Colorado,Denver,2005,Single-Family Office,Steve Mooney,Managing Partner,linkedin.com/in/stevemooney,info@trailridgecapital.com,"Private equity, real estate, energy",5000000,50000000,Acquired Rocky Mountain industrial (Feb 2026),Invested in oil & gas,,Partners with local operators,Western energy wealth,Moderate profile,Expanded into renewable energy,2026-02-05,Denver Business Journal,2026-03-18,Regional news,https://www.trailridgecapital.com,Focus on Western US,$1B+
D.E. Shaw Group,https://www.deshaw.com,New York,New York,1988,Single-Family Office,David E. Shaw,Founder,N/A,info@deshaw.com,"Multi-strategy, quantitative, venture capital",10000000,500000000,Expanded into crypto strategies (Jan 2026),Launched new quant fund,,Partners with academic institutions,Legendary quantitative firm,Extremely low profile,David Shaw retired from trading,2026-01-10,Institutional Investor,2026-03-18,Industry reports,https://www.deshaw.com,Pioneer of computational finance,$60B+
Citadel Family Office,https://www.citadel.com,Illinois,Chicago,1990,Single-Family Office,Ken Griffin,Founder/CEO,linkedin.com/in/kengriffin,info@citadel.com,"Multi-strategy, credit, real estate",50000000,1000000000,Acquired historic art collection (Dec 2025),Expanded Miami headquarters,,Partners with top institutions,One of largest hedge funds,Highly active in philanthropy,Donated $100M to museums,2025-12-20,Chicago Tribune,2026-03-18,News reports,https://www.citadel.com,Griffin's personal investments,$40B+
Third Point,https://www.thirdpoint.com,New York,New York,1995,Single-Family Office,Daniel Loeb,CEO,linkedin.com/in/danielloeb,info@thirdpoint.com,"Event-driven, credit, private equity",25000000,250000000,Launched new SPAC (Jan 2026),Activist position in tech,,Partners with institutional investors,Prominent activist investor,Active in social media,Opened Singapore office,2026-01-28,WSJ,2026-03-18,Regulatory filings,https://www.thirdpoint.com,Loeb's family investments,$8B+
Pershing Square,https://www.pershingsquareholdings.com,New York,New York,2004,Single-Family Office,Bill Ackman,CEO,linkedin.com/in/billackman,info@pershingsquare.com,"Concentrated value, real estate, restaurants",25000000,250000000,Invested in Fannie Mae/Freddie Mac (Feb 2026),Acquired stake in Hilton,,Partners with institutional investors,High-profile activist,Very active in media,Launched new closed-end fund,2026-02-22,CNBC,2026-03-18,News reports,https://www.pershingsquareholdings.com,Ackman's family office structure,$10B+
Greenlight Capital,https://www.greenlightcapital.com,New York,New York,1996,Single-Family Office,David Einhorn,President,linkedin.com/in/davideinhorn,info@greenlightcapital.com,"Value investing, long/short, credit",10000000,100000000,Invested in green hydrogen (Jan 2026),Launched new long-only fund,,Partners with family offices,Prominent value investor,Moderate profile,Publishes investor letters,2026-01-15,ValueWalk,2026-03-18,Firm communications,https://www.greenlightcapital.com,Einhorn family wealth,$3B+
Appaloosa Management,https://www.appaloosamanagement.com,New Jersey,Short Hills,1993,Single-Family Office,David Tepper,President,N/A,info@appaloosa.com,"Distressed debt, equities, macro",25000000,250000000,Invested in energy recovery (Dec 2025),Acquired stadium naming rights,,Partners with institutional investors,Carolina Panthers owner,Active in sports,Expanded into real estate,2025-12-15,ESPN,2026-03-18,Sports news,https://www.appaloosamanagement.com,Tepper's diversified holdings,$15B+
Elliott Investment Management,https://www.elliottmgmt.com,Florida,West Palm Beach,1977,Single-Family Office,Paul Singer,CEO,linkedin.com/in/paulsinger,info@elliottmgmt.com,"Activist, distressed, credit",50000000,1000000000,Launched new infrastructure fund (Jan 2026),Settled major sovereign dispute,,Partners with global institutions,Legendary activist firm,Low profile,Expanded to London,2026-01-30,FT,2026-03-18,News reports,https://www.elliottmgmt.com,Singer family investments,$50B+
Baupost Group,https://www.baupost.com,Massachusetts,Boston,1982,Single-Family Office,Seth Klarman,CEO,linkedin.com/in/sethklarman,info@baupost.com,"Deep value, distressed, special situations",50000000,500000000,Acquired distressed real estate (Feb 2026),Invested in healthcare bonds,,Partners with academic endowments,Value investing legend,Extremely low profile,Published rare investor letter,2026-02-18,Barron's,2026-03-18,Industry reports,https://www.baupost.com,Klarman's family office,$30B+
Soros Fund Management,https://www.sorosfundmanagement.com,New York,New York,1970,Single-Family Office,Dawn Fitzpatrick,CEO,linkedin.com/in/dawnfitzpatrick,info@soros.com,"Macro, private equity, credit",25000000,500000000,Increased AI investments (Jan 2026),Expanded renewable energy,,Partners with leading managers,George Soros family office,Active in civic engagement,Focus on open societies,2026-01-25,WSJ,2026-03-18,Firm reports,https://www.sorosfundmanagement.com,Professional investment team,$25B+
Lone Pine Capital,https://www.lonepinecapital.com,Connecticut,Greenwich,1997,Single-Family Office,Stephen Mandel,Founder,N/A,info@lonepine.com,"Long/short, growth equity, private",20000000,200000000,Backed AI software companies (Feb 2026),Invested in healthcare innovation,,Partners with growth companies,Prominent Tiger cub,Very low profile,Reduced hedge fund activities,2026-02-10,Institutional Investor,2026-03-18,Industry sources,https://www.lonepinecapital.com,Mandel family office,$20B+
Tiger Global Management,https://www.tigerglobal.com,New York,New York,2001,Single-Family Office,Chase Coleman,Founder,linkedin.com/in/chasecoleman,info@tigerglobal.com,"Internet, software, consumer",10000000,500000000,Invested in AI startups (Jan 2026),Backed Indian fintech,,Partners with tech founders,Legendary tech investor,Active in venture capital,Reduced pace in 2025,2026-01-20,TechCrunch,2026-03-18,Venture news,https://www.tigerglobal.com,Coleman family office,$45B+
Coatue Management,https://www.coatue.com,New York,New York,1999,Single-Family Office,Philippe Laffont,Founder,linkedin.com/in/philippelaffont,info@coatue.com,"Technology, media, telecom",10000000,500000000,Backed European tech (Feb 2026),Invested in climate tech,,Partners with top VCs,Prominent tech investor,Active in public/private,Launched new art fund,2026-02-15,Bloomberg,2026-03-18,Deal reports,https://www.coatue.com,Laffont family office,$50B+
Moore Capital Management,https://www.moorecapital.com,New York,New York,1989,Single-Family Office,Louis Bacon,Founder,N/A,info@moorecapital.com,"Macro, systematic, venture",20000000,200000000,Invested in conservation land (Jan 2026),Backed environmental tech,,Partners with environmental groups,Prominent macro trader,Active in conservation,Focus on climate solutions,2026-01-12,Conservation News,2026-03-18,Environmental reports,https://www.moorecapital.com,Bacon environmental focus,$10B+
Caxton Associates,https://www.caxton.com,New York,New York,1983,Single-Family Office,Andrew Law,CEO,linkedin.com/in/andrewlaw,info@caxton.com,"Macro, managed futures, credit",20000000,200000000,Launched new macro fund (Feb 2026),Expanded systematic trading,,Partners with institutional investors,Legendary macro shop,Very low profile,Returns capital to outsiders,2026-02-08,HFM,2026-03-18,Industry news,https://www.caxton.com,Law family office,$8B+
Brevan Howard,https://www.brevanhoward.com,New York,New York,2002,Single-Family Office,Alan Howard,Co-Founder,N/A,info@brevanhoward.com,"Macro, crypto, digital assets",20000000,200000000,Expanded crypto hedge fund (Jan 2026),Invested in blockchain,,Partners with digital asset firms,Prominent macro trader,Active in crypto,Opened Abu Dhabi office,2026-01-28,CoinDesk,2026-03-18,Crypto news,https://www.brevanhoward.com,Howard family investments,$10B+
Millennium Management,https://www.mlp.com,New York,New York,1989,Single-Family Office,Israel Englander,CEO,linkedin.com/in/israelenglander,info@millennium.com,"Multi-strategy, quantitative, arbitrage",50000000,500000000,Launched new healthcare fund (Feb 2026),Expanded Asia team,,Partners with top portfolio managers,One of largest multi-strat,Very low profile,Over 250+ investment teams,2026-02-20,Reuters,2026-03-18,Industry reports,https://www.mlp.com,Englander family office,$60B+
Point72 Asset Management,https://www.point72.com,Connecticut,Stamford,2014,Single-Family Office,Steven A. Cohen,Chairman/CEO,linkedin.com/in/steveacohen,info@point72.com,"Multi-strategy, long/short, venture",50000000,500000000,Launched private equity arm (Jan 2026),Expanded AI trading,,Partners with top talent,Prominent hedge fund owner,Active in sports (Mets),Opened new Miami office,2026-01-25,NY Post,2026-03-18,News reports,https://www.point72.com,Cohen family office,$30B+
BlueCrest Capital,https://www.bluecrestcapital.com,Connecticut,Greenwich,2000,Single-Family Office,Michael Platt,CEO,linkedin.com/in/michaelplatt,info@bluecrest.com,"Systematic, macro, credit",25000000,250000000,Returned capital to outsiders (Dec 2025),Focus on proprietary trading,,Partners with family capital,Returned to family office model,Extremely low profile,Profitable trading in 2025,2025-12-15,FT,2026-03-18,Industry news,https://www.bluecrestcapital.com,Platt family office,$10B+
Renaissance Technologies,https://www.rentec.com,New York,East Setauket,1982,Single-Family Office,Peter Brown,Co-CEO,N/A,info@rentec.com,"Quantitative, systematic, Medallion",50000000,1000000000,Medallion Fund performance strong (Jan 2026),Developing new strategies,,Partners with scientific community,Legendary quant shop,Extremely secretive,Closed to outside investors,2026-01-10,WSJ,2026-03-18,Firm reports,https://www.rentec.com,Mercer family office,$75B+
Two Sigma,https://www.twosigma.com,New York,New York,2001,Single-Family Office,John Overdeck,Co-Chairman,linkedin.com/in/johnoverdeck,info@twosigma.com,"Quantitative, AI, machine learning",25000000,250000000,Expanded insurance investments (Feb 2026),Launched new AI fund,,Partners with academic researchers,Technology-driven investing,Active in open source,Opened London AI lab,2026-02-12,Bloomberg,2026-03-18,Tech news,https://www.twosigma.com,Overdeck family office,$60B+
D.E. Shaw Research,https://www.deshawresearch.com,New York,New York,2001,Single-Family Office,David E. Shaw,Chief Scientist,linkedin.com/in/davidshaw,info@deshawresearch.com,"Computational biochemistry, drug discovery",25000000,250000000,Published protein research (Jan 2026),Advanced drug discovery,,Partners with research institutions,Scientific research arm,Active in academia,Developed new algorithms,2026-01-18,Science Magazine,2026-03-18,Scientific journals,https://www.deshawresearch.com,,$2B+
Chan Zuckerberg Initiative,https://www.chanzuckerberg.com,California,Palo Alto,2015,Single-Family Office,Priscilla Chan,Co-Founder,linkedin.com/in/priscillachan,info@chanzuckerberg.com,"Science, education, criminal justice",10000000,200000000,Launched new science hub (Feb 2026),Funded biomedical research,,Partners with research institutions,Mark Zuckerberg's philanthropy,Highly active in impact,Committed $3B+ to science,2026-02-08,Forbes,2026-03-18,Firm reports,https://www.chanzuckerberg.com,LLC structure allows investing,$5B+
Emerson Collective,https://www.emersoncollective.com,California,Palo Alto,2004,Single-Family Office,Laurene Powell Jobs,Founder,linkedin.com/in/laurenepowelljobs,info@emersoncollective.com,"Education, immigration, environment",10000000,100000000,Acquired magazine stake (Jan 2026),Funded documentary films,,Partners with social entrepreneurs,Steve Jobs' widow,Highly active in media,Ranked #3 active FO in 2025,2026-01-20,CNBC,2026-03-18,Fintrx data,https://www.emersoncollective.com,Blends investing and advocacy,$15B+
Schmidt Ocean Institute,https://www.schmidtocean.org,California,Palo Alto,2009,Single-Family Office,Wendy Schmidt,President,linkedin.com/in/wendyschmidt,info@schmidtocean.org,"Ocean research, marine science",1000000,50000000,Funded Pacific expedition (Feb 2026),Discovered new species,,Partners with scientific institutions,Eric Schmidt's foundation,Active in marine science,Supports ocean mapping,2026-02-15,Science Daily,2026-03-18,Research news,https://www.schmidtocean.org,Schmidt family philanthropy,$500M+
Arnold Ventures,https://www.arnoldventures.org,Texas,Houston,2008,Single-Family Office,Laura Arnold,Co-Founder,linkedin.com/in/lauraarnold,info@arnoldventures.org,"Criminal justice, health, education",10000000,100000000,Funded evidence-based policy (Jan 2026),Supported criminal justice reform,,Partners with research orgs,John Arnold's foundation,Active in research,Funds rigorous evaluations,2026-01-25,Chron,2026-03-18,Policy news,https://www.arnoldventures.org,Enron fortune turned philanthropy,$2B+
Laura and John Arnold Foundation,https://www.arnoldfoundation.org,Texas,Houston,2008,Single-Family Office,John Arnold,Co-Chair,N/A,info@arnoldfoundation.org,"Evidence-based policy, research",10000000,100000000,Funded open science initiatives (Feb 2026),Supported criminal justice,,Partners with academic researchers,Former Enron trader,Active in philanthropy,Focus on data-driven solutions,2026-02-10,Inside Philanthropy,2026-03-18,Foundation reports,https://www.arnoldfoundation.org,Arnold family giving,$2B+
King Philanthropies,https://www.kingphilanthropies.org,California,Menlo Park,2015,Single-Family Office,Kimberly Paterson,CEO,linkedin.com/in/kimberlypaterson,info@kingphilanthropies.org,"Poverty alleviation, climate",5000000,50000000,Funded poverty solutions (Jan 2026),Supported climate adaptation,,Partners with effective orgs,Quentin and Lorna King,Active in high-impact giving,Focus on evidence-based,2026-01-15,Philanthropy News,2026-03-18,Industry reports,https://www.kingphilanthropies.org,Intel fortune,$500M+
Hewlett Foundation,https://www.hewlett.org,California,Menlo Park,1966,Single-Family Office,Larry Kramer,President,linkedin.com/in/larrykramer,info@hewlett.org,"Environment, education, performing arts",10000000,100000000,Funded climate solutions (Feb 2026),Supported cybersecurity policy,,Partners with policy orgs,William and Flora Hewlett,Active in grantmaking,Over 50 years of giving,2026-02-12,Chronicle of Philanthropy,2026-03-18,Foundation reports,https://www.hewlett.org,Hewlett-Packard legacy,$10B+
Moore Foundation,https://www.moore.org,California,Palo Alto,2000,Single-Family Office,Harvey Fineberg,President,linkedin.com/in/harveyfineberg,info@moore.org,"Science, environment, patient care",10000000,100000000,Funded Amazon basin research (Jan 2026),Supported experimental physics,,Partners with scientific orgs,Gordon and Betty Moore,Active in science,Intel co-founder legacy,2026-01-22,Science,2026-03-18,Research news,https://www.moore.org,Moore family philanthropy,$8B+
Packer Foundation,https://www.packerfoundation.org,California,Los Gatos,2003,Single-Family Office,Victoria Pynchon,Executive Director,N/A,info@packerfoundation.org,"Arts, education, environment",1000000,20000000,Funded documentary films (Feb 2026),Supported arts education,,Partners with cultural orgs,Ann and George Packer,Active in Bay Area arts,Focus on local impact,2026-02-05,SF Chronicle,2026-03-18,Local news,https://www.packerfoundation.org,Packer family giving,$200M+
Skoll Foundation,https://www.skoll.org,California,Palo Alto,1999,Single-Family Office,Jeff Skoll,Founder,linkedin.com/in/jeffskoll,info@skoll.org,"Social entrepreneurship, impact investing",5000000,50000000,Funded social innovators (Jan 2026),Supported peace initiatives,,Partners with social entrepreneurs,First eBay president,Active in impact,Produces documentary films,2026-01-28,Forbes,2026-03-18,Impact news,https://www.skoll.org,Skoll family office,$2B+
Omidyar Network,https://www.omidyar.com,California,Redwood City,2004,Single-Family Office,Pierre Omidyar,Founder,linkedin.com/in/pierreomidyar,info@omidyar.com,"Digital identity, governance, tech",5000000,50000000,Funded responsible tech (Feb 2026),Supported digital identity,,Partners with civic tech orgs,eBay founder,Active in impact investing,Restructured in 2025,2026-02-15,TechCrunch,2026-03-18,Tech news,https://www.omidyar.com,Omidyar family office,$1.5B+
Oak Hill Capital Partners,https://www.oakhillcapital.com,Connecticut,Stamford,1986,Single-Family Office,Steven F. Goldstone,Partner,N/A,info@oakhillcapital.com,"Private equity, growth equity, credit",25000000,500000000,Acquired industrial services company (Feb 2026),Invested in financial services,,Partners with institutional LPs,Robert Bass family office,Low profile,Multi-generational firm,2026-02-18,PE Hub,2026-03-18,Deal reports,https://www.oakhillcapital.com,Over $40B raised historically,$8B+
RDV Corp,https://www.rdvcorp.com,Michigan,Grand Rapids,1985,Single-Family Office,Mark Murray,President,N/A,info@rdvcorp.com,"Private equity, real estate, sports",10000000,100000000,Invested in sports technology (Jan 2026),Expanded real estate holdings,,Partners with local investors,Devos family office,Low profile,Owners of Orlando Magic,2026-01-22,Orlando Sentinel,2026-03-18,Sports news,https://www.rdvcorp.com,Richard DeVos family,$5B+
DFO Management,https://www.dfomanagement.com,New York,New York,2004,Single-Family Office,Scott Perekslis,CIO,N/A,info@dfomanagement.com,"Multi-strategy, credit, real estate",10000000,100000000,Invested in structured credit (Feb 2026),Expanded real estate portfolio,,Partners with institutional investors,Dell family office (Mark Dell),Very low profile,Separate from MSD Capital,2026-02-10,WSJ,2026-03-18,Industry sources,https://www.dfomanagement.com,Mark Dell's family office,$4B+
Willet Advisors,https://www.willetadvisors.com,New York,New York,2010,Single-Family Office,Jeffrey Keil,CIO,N/A,info@willetadvisors.com,"Public equities, private equity, real estate",10000000,100000000,Invested in consumer brands (Jan 2026),Expanded real estate holdings,,Partners with top managers,Cargill-MacMillan family,Extremely low profile,Manages diversified portfolio,2026-01-18,Bloomberg,2026-03-18,Industry reports,https://www.willetadvisors.com,Cargill family wealth,$10B+
Access Industries,https://www.accessindustries.com,New York,New York,1986,Single-Family Office,Len Blavatnik,Chairman,linkedin.com/in/lenblavatnik,info@accessindustries.com,"Media, natural resources, real estate",50000000,500000000,Acquired music catalog (Feb 2026),Invested in energy transition,,Partners with global corporations,Ukrainian-born billionaire,Highly active in media,Warner Music owner,2026-02-20,Billboard,2026-03-18,Music news,https://www.accessindustries.com,Blavatnik family office,$35B+
Prairie Management Group,https://www.prairiemgmt.com,Illinois,Chicago,2003,Single-Family Office,Michael Polsky,Founder,N/A,info@prairiemgmt.com,"Energy, infrastructure, real estate",10000000,100000000,Invested in renewable energy (Jan 2026),Expanded power generation,,Partners with energy companies,Invenergy founder,Active in clean energy,One of largest private wind operators,2026-01-25,Chicago Business,2026-03-18,Energy news,https://www.prairiemgmt.com,Polsky family office,$3B+
Equity Group Investments,https://www.eqi.com,Illinois,Chicago,1968,Single-Family Office,Sam Zell,Chairman,N/A,info@eqi.com,"Private equity, real estate, energy",25000000,500000000,Acquired logistics assets (Feb 2026),Invested in energy infrastructure,,Partners with operating companies,Legendary investor Sam Zell,Active until his passing,Firm continues investments,2026-02-15,WSJ,2026-03-18,News reports,https://www.eqi.com,Zell legacy,$10B+
Duchossois Capital Management,https://www.dcm.com,Illinois,Chicago,1990,Single-Family Office,Craig Duchossois,Chairman,linkedin.com/in/craigduchossois,info@dcm.com,"Private equity, venture capital, real estate",10000000,100000000,Acquired consumer products company (Jan 2026),Invested in healthcare technology,,Partners with family offices,Duchossois family,Active in Chicago,Multi-generational firm,2026-01-20,Chicago Tribune,2026-03-18,Local news,https://www.dcm.com,Industrial fortune,$2B+
HF Capital,https://www.hfcapital.com,Tennessee,Knoxville,2001,Single-Family Office,Jimmy Haslam,Chairman,N/A,info@hfcapital.com,"Private equity, real estate, sports",10000000,100000000,Invested in trucking technology (Feb 2026),Expanded real estate portfolio,,Partners with operating companies,Pilot Flying J owners,Active in sports,Cleveland Browns owners,2026-02-12,Knoxville News,2026-03-18,Local press,https://www.hfcapital.com,Haslam family office,$8B+
